Rank,Town,State,1880over20k
1,New York,New York,"1,206,299"
2,Philadelphia,Pennsylvania,"847,170"
3,Brooklyn,New York,"566,663"
4,Chicago,Illinois,"503,185"
5,Boston,Massachusetts,"362,839"
6,St. Louis,Missouri,"350,518"
7,Baltimore,Maryland,"332,313"
8,Cincinnati,Ohio,"255,139"
9,San Francisco,California,"233,959"
10,New Orleans,Louisiana,"216,090"
11,Cleveland,Ohio,"160,146"
12,Pittsburgh,Pennsylvania,"156,389"
13,Buffalo,New York,"155,134"
14,Washington,District of Columbia,"147,293"
15,Newark,New Jersey,"136,508"
16,Louisville,Kentucky,"123,758"
17,Jersey City,New Jersey,"120,722"
18,Detroit,Michigan,"116,340"
19,Milwaukee,Wisconsin,"115,587"
20,Providence,Rhode Island,"104,857"
21,Albany,New York,"90,758"
22,Rochester,New York,"89,366"
23,Allegheny,Pennsylvania,"78,682"
24,Indianapolis,Indiana,"75,056"
25,Richmond,Virginia,"63,600"
26,New Haven,Connecticut,"62,882"
27,Lowell,Massachusetts,"59,475"
28,Worcester,Massachusetts,"58,291"
29,Troy,New York,"56,747"
30,Kansas City,Missouri,"55,785"
31,Cambridge,Massachusetts,"52,669"
32,Syracuse,New York,"51,792"
33,Columbus,Ohio,"51,647"
34,Paterson,New Jersey,"51,031"
35,Toledo,Ohio,"50,137"
36,Charleston,South Carolina,"49,984"
37,Fall River,Massachusetts,"48,961"
38,Minneapolis,Minnesota,"46,887"
39,Scranton,Pennsylvania,"45,850"
40,Nashville,Tennessee,"43,350"
41,Reading,Pennsylvania,"43,278"
42,Wilmington,Delaware,"42,478"
43,Hartford,Connecticut,"42,015"
44,Camden,New Jersey,"41,659"
45,St. Paul,Minnesota,"41,473"
46,Lawrence,Massachusetts,"39,151"
47,Dayton,Ohio,"38,678"
48,Lynn,Massachusetts,"38,274"
49,Atlanta,Georgia,"37,409"
50,Denver,Colorado,"35,629"
51,Oakland,California,"34,555"
52,Utica,New York,"33,914"
53,Portland,Maine,"33,810"
54,Memphis,Tennessee,"33,592"
55,Springfield,Massachusetts,"33,340"
56,Manchester,New Hampshire,"32,630"
57,St. Joseph,Missouri,"32,431"
58,Grand Rapids,Michigan,"32,016"
59,Hoboken,New Jersey,"30,999"
60,Harrisburg,New Jersey,"30,762"
61,Wheeling,West Virginia,"30,737"
62,Savannah,Georgia,"30,709"
63,Omaha,Nebraska,"30,518"
64,Trenton,New Jersey,"29,910"
65,Covington,Kentucky,"29,720"
66,Evansville,Indiana,"29,280"
67,Peoria,Illinois,"29,259"
68,Mobile,Alabama,"29,132"
69,Elizabeth,New Jersey,"28,229"
70,Erie,Pennsylvania,"27,737"
71,Bridgeport,Connecticut,"27,643"
72,Salem,Massachusetts,"27,563"
73,Quincy,Illinois,"27,268"
74,Fort Wayne,Indiana,"26,880"
75,New Bedford,Massachusetts,"26,845"
76,Terre Haute,Indiana,"26,042"
77,Lancaster,Pennsylvania,"25,769"
78,Somerville,Massachusetts,"24,933"
79,Wilkes-Barre,Pennsylvania,"23,339"
80,Des Moines,Iowa,"22,408"
81,Dubuque,Iowa,"22,254"
82,Galveston,Texas,"22,248"
83,Norfolk,Virginia,"21,966"
84,Auburn,New York,"21,924"
85,Holyoke,Massachusetts,"21,915"
86,Augusta,Georgia,"21,891"
87,Davenport,Iowa,"21,831"
88,Chelsea,Massachusetts,"21,782"
89,Petersburg,Virginia,"21,656"
90,Sacramento,California,"21,420"
91,Taunton,Massachusetts,"21,213"
92,Oswego,New York,"21,116"
93,Salt Lake City,Utah,"20,768"
94,Springfield,Ohio,"20,730"
95,Bay City,Michigan,"20,693"
96,San Antonio,Texas,"20,550"
97,Elmira,New York,"20,541"
98,Newport,Kentucky,"20,433"
99,Poughkeepsie,New York,"20,207"
