,Title,LCCN,Start_Date,End_Date,Town,State,LatLong,X1880_Population
1,Chattanooga daily rebel.,sn85025905,1865-04-19,1865-04-27,Selma,Alabama,"32.4073589, -87.0211007",NA
2,The Alaska citizen.,sn96060002,4/9/1910,10/1/1917,Fairbanks,Alaska,"64.8377778, -147.7163888",NA
3,The Alaska daily empire.,sn84020657,11/2/1912,10/26/1918,Juneau,Alaska,"58.3019444, -134.4197221",NA
4,The Alaska prospector.,sn84021905,2/13/1902,8/13/1908,Valdez,Alaska,"61.1308333, -146.3483334",NA
5,The Cordova daily times.,sn86072239,12/2/1914,4/14/1923,Cordova,Alaska,"60.5424087, -145.7525414",NA
6,The daily Alaska citizen.,sn96060003,10/31/1918,1/30/1920,Fairbanks,Alaska,"64.8377778, -147.7163888",NA
7,The daily Alaskan.,sn82014189,3/1/1904,12/30/1922,Skagway,Alaska,"59.4554025, -135.315279",NA
8,The daily Alaskan.,2017218619,1898-07-02,1899-02-03,Skaguay,Alaska,"59.4554025, -135.315279",NA
9,The daily morning Alaskan.,sn87062035,1899-02-21,2/28/1904,Skagway,Alaska,"59.4554025, -135.315279",NA
10,Daily prospector bulletin.,sn98060265,11/14/1907,11/14/1907,Valdez,Alaska,"61.1308333, -146.3483334",NA
11,Douglas Island news.,sn84021930,1898-11-23,7/1/1921,Douglas City,Alaska,"58.2777689, -134.4080527",NA
12,Iditarod pioneer.,sn95060032,7/10/1910,11/22/1919,Iditarod,Alaska,"62.546398, -158.094101",NA
13,The morning Alaskan.,sn94050030,1898-02-01,1898-02-01,Skaguay,Alaska,"59.4554025, -135.315279",NA
14,The Stroller's weekly and Douglas Island news.,sn93049267,7/9/1921,12/30/1922,Juneau,Alaska,"58.3019444, -134.4197221",NA
15,The Thlinget.,sn94050023,8/1/1908,6/1/1912,Sitka,Alaska,"57.0530556, -135.33",NA
16,Valdez daily prospector.,sn98060264,7/18/1908,5/7/1918,Valdez,Alaska,"61.1308333, -146.3483334",NA
17,Valdez weekly prospector.,sn84021940,8/20/1908,2/25/1909,Valdez,Alaska,"61.1308333, -146.3483334",NA
18,The weekly Alaska citizen.,sn96060004,10/8/1917,12/31/1917,Fairbanks,Alaska,"64.8377778, -147.7163888",NA
19,The argus.,sn94051341,1895-12-12,5/5/1900,Holbrook,Arizona,"34.9022482, -110.1581768",NA
20,The Arizona champion.,sn82016246,1883-10-06,1891-05-16,Peach Springs,Arizona,"35.5291589, -113.425491",NA
21,Arizona citizen.,sn82014896,1870-10-15,1880-04-10,Tucson,Arizona,"32.2226066, -110.9747108",NA
22,The Arizona daily orb.,sn94050505,1899-07-15,4/30/1900,Bisbee,Arizona,"31.4481547, -109.9284084",NA
23,The Arizona kicker.,sn95060900,1893-11-29,1898-10-12,Tombstone,Arizona,"31.7128683, -110.0675764",NA
24,Arizona miner.,sn82016242,1864-03-09,1868-07-25,Fort Whipple,Arizona,"34.5527787, -112.4552462",NA
25,Arizona republican.,sn84020558,1890-05-19,12/31/1921,Phoenix,Arizona,"33.4483771, -112.0740373",NA
26,Arizona sentinel and Yuma weekly examiner.,sn95060876,9/28/1911,6/3/1915,Yuma,Arizona,"32.6926512, -114.6276916",NA
27,Arizona sentinel Yuma southwest.,sn95060877,6/10/1915,6/22/1916,Yuma,Arizona,"32.6926512, -114.6276916",NA
28,Arizona sentinel.,sn95060878,6/29/1916,3/7/1918,Yuma,Arizona,"32.6926512, -114.6276916",NA
29,"The Arizona sentinel. [volume] (Arizona City [Yuma], Yuma County, A.T.",sn84021912,1872-03-23,9/21/1911,Arizona City,Arizona,"32.7558935, -111.6709584",NA
30,Arizona silver belt.,sn84021913,1878-05-02,9/1/1907,Globe City,Arizona,"33.3942223, -110.7864984",NA
31,Arizona weekly citizen.,sn82015133,1880-12-25,1896-12-26,Tucson,Arizona,"32.2226066, -110.9747108",NA
32,Arizona weekly enterprise.,sn94052364,1881-08-06,1890-12-27,Florence,Arizona,"33.0314508, -111.3873431",NA
33,Arizona weekly journal-miner.,sn85032938,1886-01-06,3/4/1903,Prescott,Arizona,"34.5400242, -112.4685025",NA
34,Arizona weekly miner.,sn82014898,1874-01-02,1877-06-01,Prescott,Arizona,"34.5400242, -112.4685025",NA
