"","Title","LCCN","Start_Date","End_Date","Town","State"
"1","The Age-herald.","sn86072192",1897-08-01,1901-12-31,"Birmingham","Alabama"
"2","Alabama state intelligencer.","sn84021903",1831-01-01,1831-12-24,"Tuscaloosa","Alabama"
"3","Birmingham age-herald.","sn84020639",1894-07-01,1895-10-03,"Birmingham","Alabama"
"4","Birmingham state herald.","sn85044812",1895-10-04,1897-07-31,"Birmingham","Alabama"
"5","Chattanooga daily rebel.","sn85025905",1865-04-19,1865-04-27,"Selma","Alabama"
"9","Mobile daily commercial register and patriot.","sn84020557",1841-05-15,1841-11-26,"Mobile","Alabama"
"10","Mobile register and journal.","sn84020566",1841-12-02,1846-12-31,"Mobile","Alabama"
"13","The State guard.","sn86050185",1847-05-11,1848-10-24,"Wetumpka","Alabama"
"14","State journal & flag.","sn82014375",1846-03-20,1846-12-25,"Tuscaloosa","Alabama"
"15","The Alaska citizen.","sn96060002",1910-04-09,1917-10-01,"Fairbanks","Alaska"
"16","The Alaska daily empire.","sn84020657",1912-11-02,1921-04-30,"Juneau","Alaska"
"17","The Alaska prospector.","sn84021905",1902-02-13,1908-08-13,"Valdez","Alaska"
"18","The Cordova daily times.","sn86072239",1914-12-02,1923-04-14,"Cordova","Alaska"
"19","The daily Alaska citizen.","sn96060003",1918-04-30,1920-01-30,"Fairbanks","Alaska"
"20","The daily Alaskan.","2017218619",1898-07-02,1899-02-03,"Skaguay","Alaska"
"21","The daily Alaskan.","sn82014189",1904-03-01,1922-12-30,"Skagway","Alaska"
"22","Daily gateway.","2017218597",1905-08-07,1905-11-22,"Seward","Alaska"
"23","The daily morning Alaskan.","sn87062035",1899-02-21,1904-02-28,"Skagway","Alaska"
"24","Daily prospector bulletin.","sn98060265",1907-11-14,1907-11-14,"Valdez","Alaska"
"25","Douglas Island news.","sn84021930",1898-11-23,1921-07-01,"Douglas City","Alaska"
"26","Iditarod pioneer.","sn95060032",1910-07-10,1919-11-22,"Iditarod","Alaska"
